Comment,Designator,Footprint,LCSC,Quantity
LM2596SX-5_0/NOPB,U5,TO-263-5_L10.2-W8.9-P1.70-TL,C10002,1
10u,"L1,L2,L3,L4",L0805,C1046,4
22u,"C3,C5,C6,C8",C1206,C12891,4
1.2K,R6,R1206,C17379,1
27k,"R18,R2,R22,R24,R25,R27,R28,R30,R31,R33,R34,R36,R37,R39,R4,R40,R42,R43",R0805,C17593,18
47k,"R10,R19,R21,R23,R26,R29,R32,R35,R38,R41",R0805,C17713,10
8.2k,R5,R0805,C17828,1
1,"R11,R13,R9",R1206,C17928,3
2k,R12,R1206,C17944,1
1u,C1,C1206,C1848,1
L298N_C19922,"U7,U8",MULTIWATT-15_L19.6-W5.0-P1.27-L,C19922,2
RC-MT08W3R0JT,"R17,R20,R7,R8",RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,C2002,4
HUSB237-AA001-DN06R,U3,TDFN-6_L2.0-W2.0-P0.65-TL-EP,C22373734,1
KT-0603R,"LED1,LED2",R0603,C2286,2
75k,R3,R0603,C23242,1
TPS22917DBVR,"U11,U13",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C2681320,2
220u,"C2,C4",CAP-SMD_BD6.3-L6.6-W6.6-FD,C2833309,2
SK22D15L5,U14,SW-TH_XKB_SK22D15L7,C2884795,1
TP4056_C382139,U9,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C382139,1
SN74LVC1G3157DCKR,U10,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,C38663,1
5.6k,R15,R0805,C4382,1
1k,"R14,R16",R1206,C4410,2
0.2,R1,R2512,C459674,1
USB_C_Receptacle_PowerOnly_6P,J2,TYPE-C-SMD_TYPE-C-6P,C5187463,1
AMS1117-3.3,"U12,U2",SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,2
10u,C7,CAP-SMD_L3.2-W1.6-RD-C7171,C7171,1
MT3608,U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C84817,1
SS34_C8678,"D2,D6",SMA_L4.3-W2.6-LS5.2-RD,C8678,2
INA219AxDCN,U1,SOT-23-8,C87469,1
Conn_02x16_Odd_Even,J3,PinHeader_2x16_P2.54mm_Vertical,,1
TestPoint,TP9,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP8,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP7,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP6,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP5,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP4,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP2,TestPoint_Pad_2.5x2.5mm,,1
TestPoint,TP1,TestPoint_Pad_2.5x2.5mm,,1
